0,1,2,3,4,5,6,7,8
147,HANDICRAFTS & HANDLOOM EXPORTS CORP. OF INDIA LTD.,3,0,2,1,0,0,0
148,CENTRAL RAILSIDE WAREHOUSE CO. LTD.,3,0,0,1,1,0,1
149,STATE TRADING CORPN. OF INDIA LTD.,3,0,0,2,1,0,0
150,INDIAN RAILWAY STATIONS DEVPT. CORPORATION LTD.,2,0,0,0,1,0,1
151,RAJASTHAN DRUGS & PHARMACEUTICALS LTD.,2,0,1,0,1,0,0
152,HPRGE,2,1,0,0,1,0,0
153,ORISSA DRUGS & CHEMICALS LTD.,2,0,1,0,1,0,0
154,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORP. LTD.,2,1,0,1,0,0,0
155,BHAKRA BEAS MANAGEMENT BOARD,2,0,0,1,0,0,1
156,ANUSHAKTI VIDHYUT NIGAM LTD.,2,0,0,0,0,0,2
157,HPCL RAJASTHAN REFINERY LTD.,2,2,0,0,0,0,0
158,HOUSING & URBAN DEV. CORPN. LTD.,2,0,1,0,0,0,1
159,NATIONAL RESEARCH DEVELOPMENT CORPN.,2,0,1,1,0,0,0
160,P E C LTD.,2,2,0,0,0,0,0
161,BRAITHWAITE & CO. LTD.,2,0,0,0,1,0,1
162,DEDICATED FRIGHT CORRIDOR CORP. OF INDIA LTD.,2,0,1,1,0,0,0
163,NATIONAL FILM DEV. CORPN. LTD.,1,0,1,0,0,0,0
164,NEYVELI UTTAR PRADESH POWER LTD,1,1,0,0,0,0,0
165,VIGNYAN INDUSTRIES LTD.,1,0,0,0,1,0,0
166,INDIAN RENEWABLE ENERGY DEVT.AGENCY LTD.,1,0,0,1,0,0,0
167,BIOTECHNOLOGY INDUSTRY RESEARCH ASSISTANCE COUNCIL,1,0,0,0,0,0,1
168,NATIONAL JUTE MANUFACTURES CORPORATION LTD.,1,0,0,0,1,0,0
169,CONCOR AIR LTD.,1,0,0,1,0,0,0
170,POWER FINANCE CORPORATION LTD.,1,0,0,0,0,0,1
171,NEWSPACE INDIA LTD.,1,0,0,0,0,0,1
